GO_type,exp_string,GO_id,Description,GeneRatio,BgRatio,p.adjust,gene_names,l2fc
Biological process,L1_Imp,GO:0034329,cell junction assembly,93/1159,227/9160,4.42813308869519e-25,arm/ben/Lar/ena/Fas2/Galphao/Gs2/kay/dlg1/l(2)gl/Atpalpha/pum/sesB/sgg/slo/stau/Ten-m/Gad1/Syn/pros/Rap1/Lac/brat/Rac1/Cdc42/Akt1/Sdc/sinu/Sema1a/cpb/nmo/pck/CASK/Nf1/Pi3K92E/nrv2/Dad/caps/WASp/moody/par-6/Fmr1/seq/Tao/cold/Syn2/Liprin-gamma/PIP5K59B/Eps-15/Cip4/CG13704/Ssk/M6/Arl8/pasi1/Nrx-1/plum/Cals/Kat60/Rheb/cpx/Fsn/Pak3/mesh/Synd/shakB/jeb/alpha-Spec/futsch/mnb/Mob4/par-1/nej/Ank2/aPKC/Tl/Rab8/Arp3/Src64B/cac/scrib/nwk/dysc/CaMKII/Nrg/Patr-1/kis/Ten-a/unc-104/Mcr/Pak/S6k/Imp,1.6950773557949508
Biological process,L1_Imp,GO:0061564,axon development,117/1159,337/9160,2.6591451313824284e-24,Appl/ben/Cam/Pka-C1/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/put/Sh/sm/Pp1-87B/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/mys/dac/Con/hep/Rac1/Cdc42/Akt1/Sdc/Wnt4/tutl/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/fax/CadN/Lis-1/NetB/Vang/fz2/spen/14-3-3epsilon/ko/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/msps/jbug/Fmr1/pod1/Dlic/wgn/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/AP-1sigma/RhoGAP100F/Ephrin/Rheb/bchs/Unc-115a/sif/jeb/vvl/kra/alpha-Spec/meigo/futsch/Cul3/haf/Ank2/Bsg/Arp3/Src64B/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/Hsc70-4/Ten-a/Ptp61F/Pak/Frl/S6k/InR/lola/trol/Fas1/Imp,1.4562269703793804
Biological process,L1_Imp,GO:0048667,cell morphogenesis involved in neuron differentiation,135/1159,424/9160,3.9854663510737256e-24,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/pum/put/Ras85D/Sh/sm/Tm1/trc/Pp1-87B/ct/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/fs(1)h/mys/ci/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/msn/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/fax/Pi3K92E/CadN/Lis-1/Nak/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/jim/msps/jbug/Fmr1/seq/pod1/Dlic/wgn/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/CG9705/foxo/Sar1/AP-1sigma/RhoGAP100F/Ephrin/Rheb/Unc-115a/sif/Snoo/jeb/vvl/kra/alpha-Spec/meigo/futsch/Cul3/haf/Ank2/Dhc64C/Bsg/Src64B/cnc/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/tau/Hsc70-4/Ten-a/unc-104/Ptp61F/Pak/Frl/br/S6k/InR/lola/trol/Fas1/Rab1/TER94,1.3313621744654662
Biological process,L1_Imp,GO:0007267,cell-cell signaling,146/1159,479/9160,4.302892377177772e-24,Ace/nAChRalpha1/mAChR-A/nAChRbeta1/arm/BicD/Pka-C1/Chc/dnc/Fas2/Galphao/gro/dlg1/mam/Atpalpha/pum/sesB/sgg/Sh/shi/skd/slo/Pp1-87B/mts/Csp/Syt1/Rdl/Galphaq/Ten-m/Syn/Cbp53E/Plc21C/Rap1/Gdi/tws/Rab3/Eip63E/Cdc42/Arf79F/Akt1/Nmdar1/Wnt4/Ssdp/nmo/Sap47/nSyb/Syx1A/Arf51F/CASK/Rho1/Vps26/CkIalpha/Pi3K92E/apt/fz2/Dyrk2/stnB/spen/crol/CtBP/Sin3A/GluClalpha/Srpk79D/unc-13/X11L/Eaat1/nito/Syt4/Fmr1/nAChRalpha5/Vap33/Upf2/NFAT/Nadsyn/Frq1/wgn/VGlut/CG7781/nAChRalpha6/CycY/CG6583/twit/sky/CG6329/Syngr/Dg/Hipk/scramb2/unc-13-4A/FoxK/Toll-6/cmpy/Arl8/ATP6AP2/KaiR1D/Nrx-1/AdipoR/Cow/Cals/Scamp/cpx/wrd/Fsn/lncRNA:CR31781/X11Lbeta/Synd/Rim/Frq2/lap/jeb/apolpp/alpha-Spec/alphaSnap/Pka-R1/brp/Hip14/Dys/qvr/Sytbeta/lqfR/nej/Ank2/Rbp/Shab/Src64B/SERCA/cac/Ih/nwk/dally/cpo/dysc/Flo2/Slob/CaMKII/pAbp/ttv/Hsc70-4/Snap24/Ten-a/unc-104/VAChT/slmb/InR/Rab1/TER94,1.2684097451216716
Biological process,L1_Imp,GO:0007268,chemical synaptic transmission,106/1159,292/9160,8.879944030446939e-24,Ace/nAChRalpha1/mAChR-A/nAChRbeta1/BicD/Pka-C1/Chc/dnc/Fas2/dlg1/Atpalpha/pum/sesB/Sh/shi/slo/Csp/Syt1/Rdl/Galphaq/Ten-m/Syn/Cbp53E/Plc21C/Rap1/Gdi/Rab3/Cdc42/Arf79F/Akt1/Nmdar1/Sap47/nSyb/Syx1A/Arf51F/CASK/Pi3K92E/apt/stnB/GluClalpha/Srpk79D/unc-13/X11L/Eaat1/Syt4/Fmr1/nAChRalpha5/Vap33/Upf2/NFAT/Nadsyn/Frq1/wgn/VGlut/CG7781/nAChRalpha6/CG6583/twit/sky/CG6329/Syngr/Dg/scramb2/unc-13-4A/Toll-6/Arl8/KaiR1D/Nrx-1/Cals/Scamp/cpx/wrd/Fsn/X11Lbeta/Synd/Rim/Frq2/lap/jeb/alpha-Spec/alphaSnap/Pka-R1/brp/Hip14/Dys/qvr/Sytbeta/lqfR/nej/Ank2/Rbp/Shab/Src64B/SERCA/cac/Ih/nwk/cpo/dysc/Slob/CaMKII/pAbp/Hsc70-4/Snap24/Ten-a/VAChT,1.5205629276610166
Biological process,L1_Imp,GO:0098916,anterograde trans-synaptic signaling,106/1159,292/9160,8.879944030446939e-24,Ace/nAChRalpha1/mAChR-A/nAChRbeta1/BicD/Pka-C1/Chc/dnc/Fas2/dlg1/Atpalpha/pum/sesB/Sh/shi/slo/Csp/Syt1/Rdl/Galphaq/Ten-m/Syn/Cbp53E/Plc21C/Rap1/Gdi/Rab3/Cdc42/Arf79F/Akt1/Nmdar1/Sap47/nSyb/Syx1A/Arf51F/CASK/Pi3K92E/apt/stnB/GluClalpha/Srpk79D/unc-13/X11L/Eaat1/Syt4/Fmr1/nAChRalpha5/Vap33/Upf2/NFAT/Nadsyn/Frq1/wgn/VGlut/CG7781/nAChRalpha6/CG6583/twit/sky/CG6329/Syngr/Dg/scramb2/unc-13-4A/Toll-6/Arl8/KaiR1D/Nrx-1/Cals/Scamp/cpx/wrd/Fsn/X11Lbeta/Synd/Rim/Frq2/lap/jeb/alpha-Spec/alphaSnap/Pka-R1/brp/Hip14/Dys/qvr/Sytbeta/lqfR/nej/Ank2/Rbp/Shab/Src64B/SERCA/cac/Ih/nwk/cpo/dysc/Slob/CaMKII/pAbp/Hsc70-4/Snap24/Ten-a/VAChT,1.5205629276610166
Biological process,L1_Imp,GO:0032879,regulation of localization,148/1159,493/9160,8.97066693028095e-24,bic/BicD/Cam/Pka-C1/Chc/ena/ImpL2/kay/Khc/klar/Catsup/l(2)gl/Lam/mago/numb/peb/S/sesB/sgg/sl/sqh/stau/Su(dx)/ttk/vn/Syt1/porin/pros/Rap1/drk/mys/Hrb27C/enc/Rab3/ple/brat/hep/Rac1/Cdc42/Arf79F/Akt1/msn/Sema1a/Sema2a/Moe/Sep1/Syx1A/CASK/Rab5/Rac2/Rho1/bnl/Pi3K92E/Cnx99A/Nak/NetB/nrv1/nrv2/Rab10/Rab11/Rbf/Vang/stnB/Ran/Pi3K21B/ArfGAP1/Sin3A/PlexA/Cortactin/par-6/wdb/CG4928/Akap200/Syt4/Atf3/CG4587/spidey/NFAT/Frq1/Tao/Rab35/IA-2/CG7781/CG6583/twit/sky/Dscam1/CG6329/Slik/ITP/Teh2/Uev1A/Indy/cmpy/elm/foxo/KaiR1D/Sar1/Nrx-1/AdipoR/Kat60/Rheb/cpx/Sec16/Lasp/Frq2/lap/puc/mnb/Hip14/Sep4/Dys/qvr/par-1/Sytbeta/mgl/aPKC/east/Rab8/norpA/Evi5/Fs(2)Ket/cnc/SERCA/cac/Hk/scrib/Ih/dally/dysc/Flo2/Slob/sli/rdx/CaMKII/ens/AP-2alpha/smt3/sima/kis/unc-104/Ptp61F/slmb/S6k/InR/lola/Rab1/TER94,1.2464765612288728
Biological process,L1_Imp,GO:0099537,trans-synaptic signaling,106/1159,294/9160,1.507031985200884e-23,Ace/nAChRalpha1/mAChR-A/nAChRbeta1/BicD/Pka-C1/Chc/dnc/Fas2/dlg1/Atpalpha/pum/sesB/Sh/shi/slo/Csp/Syt1/Rdl/Galphaq/Ten-m/Syn/Cbp53E/Plc21C/Rap1/Gdi/Rab3/Cdc42/Arf79F/Akt1/Nmdar1/Sap47/nSyb/Syx1A/Arf51F/CASK/Pi3K92E/apt/stnB/GluClalpha/Srpk79D/unc-13/X11L/Eaat1/Syt4/Fmr1/nAChRalpha5/Vap33/Upf2/NFAT/Nadsyn/Frq1/wgn/VGlut/CG7781/nAChRalpha6/CG6583/twit/sky/CG6329/Syngr/Dg/scramb2/unc-13-4A/Toll-6/Arl8/KaiR1D/Nrx-1/Cals/Scamp/cpx/wrd/Fsn/X11Lbeta/Synd/Rim/Frq2/lap/jeb/alpha-Spec/alphaSnap/Pka-R1/brp/Hip14/Dys/qvr/Sytbeta/lqfR/nej/Ank2/Rbp/Shab/Src64B/SERCA/cac/Ih/nwk/cpo/dysc/Slob/CaMKII/pAbp/Hsc70-4/Snap24/Ten-a/VAChT,1.5107151417046696
Biological process,L1_Imp,GO:0099536,synaptic signaling,106/1159,297/9160,3.5925456133217887e-23,Ace/nAChRalpha1/mAChR-A/nAChRbeta1/BicD/Pka-C1/Chc/dnc/Fas2/dlg1/Atpalpha/pum/sesB/Sh/shi/slo/Csp/Syt1/Rdl/Galphaq/Ten-m/Syn/Cbp53E/Plc21C/Rap1/Gdi/Rab3/Cdc42/Arf79F/Akt1/Nmdar1/Sap47/nSyb/Syx1A/Arf51F/CASK/Pi3K92E/apt/stnB/GluClalpha/Srpk79D/unc-13/X11L/Eaat1/Syt4/Fmr1/nAChRalpha5/Vap33/Upf2/NFAT/Nadsyn/Frq1/wgn/VGlut/CG7781/nAChRalpha6/CG6583/twit/sky/CG6329/Syngr/Dg/scramb2/unc-13-4A/Toll-6/Arl8/KaiR1D/Nrx-1/Cals/Scamp/cpx/wrd/Fsn/X11Lbeta/Synd/Rim/Frq2/lap/jeb/alpha-Spec/alphaSnap/Pka-R1/brp/Hip14/Dys/qvr/Sytbeta/lqfR/nej/Ank2/Rbp/Shab/Src64B/SERCA/cac/Ih/nwk/cpo/dysc/Slob/CaMKII/pAbp/Hsc70-4/Snap24/Ten-a/VAChT,1.496068365740268
Biological process,L1_Imp,GO:0042330,taxis,113/1159,329/9160,3.5925456133217887e-23,Cam/chic/Lar/ena/Fas2/Fas3/fog/Khc/egh/dlg1/peb/put/slgA/sm/Pp1-87B/ct/nonA/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/mys/ple/dac/Con/hep/Rac1/Cdc42/Nmdar1/Sdc/Wnt4/tutl/Sema1a/Sema2a/babo/Moe/Tig/nmo/shot/Rac2/Rho1/bif/CadN/Lis-1/NetB/Vang/fz2/spen/14-3-3epsilon/ko/dom/Dad/Abi/Pka-R2/caps/PlexA/Smox/msps/jbug/Fmr1/pod1/Clic/wgn/Dscam1/Dg/Toll-7/Hipk/Toll-6/M6/ATP6AP2/AP-1sigma/CG6330/RhoGAP100F/Ephrin/Rheb/Unc-115a/shep/CG34353/lap/jeb/vvl/l(3)L1231/kra/alpha-Spec/meigo/haf/rdgA/Bsg/Tl/Src64B/norpA/Dscam4/hts/dally/dysc/sli/Nrg/Dscam2/ttv/kis/Hsc70-4/Ten-a/Ptp61F/Pak/br/S6k/InR/lola/trol/Fas1,1.4407022206577806
Biological process,L1_Imp,GO:0007409,axonogenesis,111/1159,324/9160,1.1973590093037868e-22,Appl/ben/Cam/chic/Lar/dnc/ena/Fas2/Fas3/fog/kay/Khc/egh/peb/put/Sh/sm/Pp1-87B/Ptp99A/Ptp10D/Galphaq/Ten-m/pros/zfh1/fru/mys/dac/hep/Rac1/Cdc42/Sdc/Wnt4/tutl/Sema1a/Sema2a/babo/Moe/Tig/shot/Rab5/Rac2/Rho1/bif/fax/CadN/Lis-1/NetB/Vang/fz2/spen/14-3-3epsilon/ko/Dad/Abi/Pka-R2/caps/WASp/PlexA/Smox/RhoGAPp190/msps/jbug/Fmr1/pod1/Dlic/wgn/Dscam1/Dg/Toll-7/Liprin-gamma/nudE/Toll-6/sff/AP-1sigma/RhoGAP100F/Ephrin/Rheb/Unc-115a/sif/jeb/vvl/kra/alpha-Spec/meigo/futsch/Cul3/haf/Ank2/Bsg/Src64B/Dscam4/hts/sick/dally/dysc/sli/smt3/Nrg/Dscam2/ttv/kis/Hsc70-4/Ten-a/Ptp61F/Pak/Frl/S6k/InR/lola/trol/Fas1,1.4370328954433158
