exp_string,bins,meanCoverage,standardError,feature,merged_bins,max_cvg,norm_cvg,norm_SE
L1 Imp,73,0.0011885838347540853,4.4582329144524427e-4,fiveUTRs,36.5,0.028600016385813703,0.041558851530716305,0.015588218042643617
L1 Imp,74,0.0013598944414654384,4.575778387338491e-4,fiveUTRs,37,0.028600016385813703,0.047548729452476075,0.015999215964114577
L1 Imp,75,0.0017990267679653482,5.274991508646104e-4,fiveUTRs,37.5,0.028600016385813703,0.06290299780589317,0.01844401568686732
L1 Imp,76,0.0018416170644515973,5.218101764552388e-4,fiveUTRs,38,0.028600016385813703,0.0643921681585149,0.018245100611692978
L1 Imp,77,0.0017654689246910308,5.094900176776646e-4,fiveUTRs,38.5,0.028600016385813703,0.061729647314703845,0.017814326076064205
L1 Imp,78,0.002058977167576236,5.584059902750857e-4,fiveUTRs,39,0.028600016385813703,0.07199216740999974,0.01952467378837127
L1 Imp,79,0.0016937399403679381,4.7296222744093013e-4,fiveUTRs,39.5,0.028600016385813703,0.05922164230675315,0.0165371313449852
L1 Imp,80,0.0011981514126632802,3.9975756824244554e-4,fiveUTRs,40,0.028600016385813703,0.04189338203517926,0.0139775293429809
L1 Imp,81,0.0012217732433153423,4.130255135682039e-4,fiveUTRs,40.5,0.028600016385813703,0.042719319696661824,0.014441443249419763
L1 Imp,82,0.0010439347695279885,3.861629567661124e-4,fiveUTRs,41,0.028600016385813703,0.036501194805112255,0.013502193549709243
L1 Imp,83,8.874878144934782e-4,3.4291206625176955e-4,fiveUTRs,41.5,0.028600016385813703,0.03103102468618492,0.0119899255170309
L1 Imp,84,9.677468724842897e-4,3.4211917114293895e-4,fiveUTRs,42,0.028600016385813703,0.03383728384730281,0.011962201927710723
L1 Imp,85,7.14570346778412e-4,2.867293246547558e-4,fiveUTRs,42.5,0.028600016385813703,0.024984962845435853,0.010025495118141978
L1 Imp,86,0.0010711692374637336,3.550887440925012e-4,fiveUTRs,43,0.028600016385813703,0.03745344838316454,0.012415683239560441
L1 Imp,87,0.0017331337310320628,5.28648125920849e-4,fiveUTRs,43.5,0.028600016385813703,0.06059904678557243,0.018484189616865786
L1 Imp,88,0.001749782384223472,5.284438279849965e-4,fiveUTRs,44,0.028600016385813703,0.06118116719301623,0.018477046336488022
L1 Imp,89,0.0019324529876442041,5.143752796211814e-4,fiveUTRs,44.5,0.028600016385813703,0.0675682475693527,0.017985139332868494
L1 Imp,90,0.0024994453383042174,6.434705974235689e-4,fiveUTRs,45,0.028600016385813703,0.08739314357679888,0.022498959047546063
L1 Imp,91,0.0023588718754881896,5.93079010809669e-4,fiveUTRs,45.5,0.028600016385813703,0.08247799035032186,0.020737016469118193
L1 Imp,92,0.002809906229308328,6.397900029684764e-4,fiveUTRs,46,0.028600016385813703,0.09824841326671789,0.02237026700746324
L1 Imp,93,0.0023014214835623617,5.723171615833488e-4,fiveUTRs,46.5,0.028600016385813703,0.08046923653875675,0.020011078100893396
L1 Imp,94,0.0023941113892250363,5.676131926619871e-4,fiveUTRs,47,0.028600016385813703,0.08371014047434508,0.01984660375731592
L1 Imp,95,0.002044759257233001,5.054721723976573e-4,fiveUTRs,47.5,0.028600016385813703,0.07149503796253945,0.017673842055852238
L1 Imp,96,0.0022520701026601925,5.090224101396304e-4,fiveUTRs,48,0.028600016385813703,0.07874366476857242,0.017797976171514285
L1 Imp,97,0.0013529485481362463,3.3560056830665686e-4,fiveUTRs,48.5,0.028600016385813703,0.04730586618850126,0.01173427888220102
L1 Imp,98,5.563302737683093e-4,2.2436614674275682e-4,fiveUTRs,49,0.028600016385813703,0.01945209632971618,0.007844965671210168
L1 Imp,99,5.565871893614367e-4,2.3647630892146434e-4,fiveUTRs,49.5,0.028600016385813703,0.01946107938726627,0.008268397672623792
L1 Imp,100,7.682597524490425e-4,2.754452127418865e-4,fiveUTRs,50,0.028600016385813703,0.026862213716427025,0.009630945976608388
L1 Imp,1,2.0181634712411706e-4,2.0181634712411703e-4,cds,51,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,2,2.5492591215677945e-4,2.0867711111483288e-4,cds,52,0.028600016385813703,0.008913488325245465,0.0072963983062031305
L1 Imp,3,3.6114504222210423e-4,2.571040442396897e-4,cds,53,0.028600016385813703,0.012627441794097742,0.0089896467460494
L1 Imp,4,0,0,cds,54,0.028600016385813703,0,0
L1 Imp,5,2.0181634712411706e-4,2.0181634712411703e-4,cds,55,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,6,2.0181634712411706e-4,2.0181634712411703e-4,cds,56,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,7,2.0181634712411706e-4,2.0181634712411703e-4,cds,57,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,8,0,0,cds,58,0.028600016385813703,0,0
L1 Imp,9,2.0181634712411706e-4,2.0181634712411703e-4,cds,59,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,10,2.0181634712411706e-4,2.0181634712411703e-4,cds,60,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,11,2.0181634712411706e-4,2.0181634712411703e-4,cds,61,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,12,7.081275337688318e-5,7.081275337688318e-5,cds,62,0.028600016385813703,0.0024759689792348515,0.0024759689792348515
L1 Imp,13,3.0803547718944184e-4,2.2804316967596228e-4,cds,63,0.028600016385813703,0.010770465059671604,0.007973532832976879
L1 Imp,14,2.738936139541589e-4,2.1428741863261874e-4,cds,64,0.028600016385813703,0.009576694301826229,0.007492562792338485
L1 Imp,15,1.0090817356205853e-4,1.0090817356205851e-4,cds,65,0.028600016385813703,0.003528255795409663,0.0035282557954096627
L1 Imp,16,2.0181634712411706e-4,2.0181634712411703e-4,cds,66,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,17,2.0181634712411706e-4,2.0181634712411703e-4,cds,67,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,18,2.690884628321561e-4,2.127202257601361e-4,cds,68,0.028600016385813703,0.0094086821210924345,0.0074377658701500066
L1 Imp,19,2.0181634712411706e-4,2.0181634712411703e-4,cds,69,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,20,2.690884628321561e-4,2.127202257601361e-4,cds,70,0.028600016385813703,0.0094086821210924345,0.0074377658701500066
L1 Imp,21,4.036326942482341e-4,2.4713195449770016e-4,cds,71,0.028600016385813703,0.014113023181638653,0.00864097247931241
L1 Imp,22,5.650857719475277e-4,3.2784755585254003e-4,cds,72,0.028600016385813703,0.019758232454294113,0.01146319468597089
L1 Imp,23,3.027245206861756e-4,2.25619316220444e-4,cds,73,0.028600016385813703,0.01058476738622899,0.007888782760710466
L1 Imp,24,3.699966363942146e-4,2.626799287882674e-4,cds,74,0.028600016385813703,0.012936937916502099,0.00918460763255237
L1 Imp,25,3.2290615539858726e-4,2.3533532184273517e-4,cds,75,0.028600016385813703,0.011290418545310921,0.008228503042378226
L1 Imp,26,3.363605785401951e-4,2.4253046413190245e-4,cds,76,0.028600016385813703,0.011760852651365544,0.008480081299960493
L1 Imp,27,4.036326942482341e-4,2.853826075995178e-4,cds,77,0.028600016385813703,0.014113023181638653,0.009978407136195713
L1 Imp,28,2.2199798183652876e-4,1.5760795727296046e-4,cds,78,0.028600016385813703,0.007762162749901259,0.005510764579531423
L1 Imp,29,1.3454423141607804e-4,1.34544231416078e-4,cds,79,0.028600016385813703,0.004704341060546217,0.004704341060546216
L1 Imp,30,1.3454423141607804e-4,1.34544231416078e-4,cds,80,0.028600016385813703,0.004704341060546217,0.004704341060546216
L1 Imp,31,4.0363269424823414e-5,4.0363269424823414e-5,cds,81,0.028600016385813703,0.0014113023181638654,0.0014113023181638654
L1 Imp,32,0,0,cds,82,0.028600016385813703,0,0
L1 Imp,33,0,0,cds,83,0.028600016385813703,0,0
L1 Imp,34,0,0,cds,84,0.028600016385813703,0,0
L1 Imp,35,3.363605785401951e-5,3.36360578540195e-5,cds,85,0.028600016385813703,0.0011760852651365543,0.001176085265136554
L1 Imp,36,2.0181634712411706e-4,2.0181634712411703e-4,cds,86,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,37,1.2108980827447023e-4,1.2108980827447021e-4,cds,87,0.028600016385813703,0.004233906954491596,0.004233906954491595
L1 Imp,38,1.6818028927009755e-4,1.6818028927009755e-4,cds,88,0.028600016385813703,0.005880426325682772,0.005880426325682772
L1 Imp,39,1.3454423141607804e-4,1.34544231416078e-4,cds,89,0.028600016385813703,0.004704341060546217,0.004704341060546216
L1 Imp,40,2.0181634712411706e-4,2.0181634712411703e-4,cds,90,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,41,3.363605785401951e-5,3.36360578540195e-5,cds,91,0.028600016385813703,0.0011760852651365543,0.001176085265136554
L1 Imp,42,0,0,cds,92,0.028600016385813703,0,0
L1 Imp,43,0,0,cds,93,0.028600016385813703,0,0
L1 Imp,44,6.727211570803902e-5,6.7272115708039e-5,cds,94,0.028600016385813703,0.0023521705302731086,0.002352170530273108
L1 Imp,45,1.0090817356205853e-4,1.0090817356205851e-4,cds,95,0.028600016385813703,0.003528255795409663,0.0035282557954096627
L1 Imp,46,1.2108980827447023e-4,8.561478227985534e-5,cds,96,0.028600016385813703,0.004233906954491596,0.002993522140858714
L1 Imp,47,5.718129835183317e-4,3.3121056303309673e-4,cds,97,0.028600016385813703,0.019993449507321424,0.011580782282257193
L1 Imp,48,4.507231752438614e-4,2.6109885098123223e-4,cds,98,0.028600016385813703,0.01575954255282983,0.009129325223419926
L1 Imp,49,3.901782711066263e-4,2.2549186109012087e-4,cds,99,0.028600016385813703,0.01364258907558403,0.007884326290175494
L1 Imp,50,6.054490413723512e-4,3.4948559950495064e-4,cds,100,0.028600016385813703,0.02116953477245798,0.012219769205387726
L1 Imp,51,4.439959636730575e-4,2.867945044145822e-4,cds,101,0.028600016385813703,0.015524325499802517,0.010027774129417603
L1 Imp,52,3.2290615539858726e-4,2.3533532184273517e-4,cds,102,0.028600016385813703,0.011290418545310921,0.008228503042378226
L1 Imp,53,2.690884628321561e-4,2.127202257601361e-4,cds,103,0.028600016385813703,0.0094086821210924345,0.0074377658701500066
L1 Imp,54,2.690884628321561e-4,1.9611276820227932e-4,cds,104,0.028600016385813703,0.0094086821210924345,0.006857085868648522
L1 Imp,55,0,0,cds,105,0.028600016385813703,0,0
L1 Imp,56,0,0,cds,106,0.028600016385813703,0,0
L1 Imp,57,0,0,cds,107,0.028600016385813703,0,0
L1 Imp,58,4.0363269424823414e-5,4.0363269424823414e-5,cds,108,0.028600016385813703,0.0014113023181638654,0.0014113023181638654
L1 Imp,59,1.3454423141607804e-4,1.34544231416078e-4,cds,109,0.028600016385813703,0.004704341060546217,0.004704341060546216
L1 Imp,60,0,0,cds,110,0.028600016385813703,0,0
L1 Imp,61,0,0,cds,111,0.028600016385813703,0,0
L1 Imp,62,0,0,cds,112,0.028600016385813703,0,0
L1 Imp,63,0,0,cds,113,0.028600016385813703,0,0
L1 Imp,64,3.4597088078420064e-4,2.4798915780597825e-4,cds,114,0.028600016385813703,0.012096877012833131,0.00867094460578655
L1 Imp,65,2.0181634712411706e-4,2.0181634712411703e-4,cds,115,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,66,6.054490413723512e-4,3.4948559950495064e-4,cds,116,0.028600016385813703,0.02116953477245798,0.012219769205387726
L1 Imp,67,7.063572149344097e-4,3.637278913334108e-4,cds,117,0.028600016385813703,0.024697790567867643,0.012717751151842996
L1 Imp,68,4.036326942482341e-4,2.853826075995178e-4,cds,118,0.028600016385813703,0.014113023181638653,0.009978407136195713
L1 Imp,69,2.0181634712411706e-4,2.0181634712411703e-4,cds,119,0.028600016385813703,0.007056511590819326,0.0070565115908193254
L1 Imp,70,7.063572149344097e-4,3.637278913334108e-4,cds,120,0.028600016385813703,0.024697790567867643,0.012717751151842996
L1 Imp,71,8.072653884964682e-4,4.035104615615626e-4,cds,121,0.028600016385813703,0.028226046363277305,0.014108749313923943
L1 Imp,72,8.072653884964682e-4,3.774276921519912e-4,cds,122,0.028600016385813703,0.028226046363277305,0.01319676489203707
L1 Imp,73,9.283551967709385e-4,4.2124098868342335e-4,cds,123,0.028600016385813703,0.0324599533177689,0.014728697459501073
L1 Imp,74,0.0010090817356205853,4.2792023546301826e-4,cds,124,0.028600016385813703,0.035282557954096634,0.014962237422887527
L1 Imp,75,8.072653884964682e-4,3.774276921519912e-4,cds,125,0.028600016385813703,0.028226046363277305,0.01319676489203707
L1 Imp,76,0.0011301715438950554,4.6700981760011044e-4,cds,126,0.028600016385813703,0.03951646490858823,0.016329005246016524
L1 Imp,77,9.754456777665658e-4,4.1038790949683e-4,cds,127,0.028600016385813703,0.034106472688960075,0.014349219383678127
L1 Imp,78,9.081735620585267e-4,4.158969411474051e-4,cds,128,0.028600016385813703,0.03175430215868697,0.014541842757604152
L1 Imp,79,7.669021190716448e-4,3.849257290040816e-4,cds,129,0.028600016385813703,0.02681474404511344,0.01345893386253492
L1 Imp,80,7.568113017154389e-4,2.992736128679863e-4,cds,130,0.028600016385813703,0.026461918465572474,0.010464106342835287
L1 Imp,81,0.001269318604280631,4.888152453493773e-4,cds,131,0.028600016385813703,0.04438174395278471,0.0170914323528794
L1 Imp,82,0.0015539858728557013,5.519425759616526e-4,cds,132,0.028600016385813703,0.054335139249308814,0.019298680410387088
L1 Imp,83,0.0012555859881793283,4.8361774641300675e-4,cds,133,0.028600016385813703,0.04390158282574024,0.0169097017249575
L1 Imp,84,0.0015432122182347898,5.084587837000239e-4,cds,134,0.028600016385813703,0.05395843825461094,0.017778268964637085
L1 Imp,85,0.0013492864350583827,5.038893798394414e-4,cds,135,0.028600016385813703,0.047177820350049214,0.01761849969041915
L1 Imp,86,9.754456777665658e-4,4.1038790949683e-4,cds,136,0.028600016385813703,0.034106472688960075,0.014349219383678127
L1 Imp,87,0.0010234971889865937,4.3154086948579554e-4,cds,137,0.028600016385813703,0.035786594496298015,0.015088832945559088
L1 Imp,88,0.001124405362548652,4.3540625815811034e-4,cds,138,0.028600016385813703,0.03931485029170767,0.015223986318206529
L1 Imp,89,0.0013262217096727692,4.599404578713483e-4,cds,139,0.028600016385813703,0.046371361882527,0.01608182497753707
L1 Imp,90,0.0018163471241170535,5.878839649569235e-4,cds,140,0.028600016385813703,0.06350860431737394,0.020555371613301874
L1 Imp,91,0.0022392004228532986,6.34456344945348e-4,cds,141,0.028600016385813703,0.07829367622194776,0.022183775575039658
L1 Imp,92,0.0026236125126135215,7.267773544702441e-4,cds,142,0.028600016385813703,0.09173465068065123,0.025411781051662027
L1 Imp,93,0.002455432223343424,6.991218073552293e-4,cds,143,0.028600016385813703,0.08585422435496846,0.024444804433818804
L1 Imp,94,0.0025496131853346786,6.917636155118144e-4,cds,144,0.028600016385813703,0.08914726309735081,0.024187525146137534
L1 Imp,95,0.0015136226034308778,5.38327232358209e-4,cds,145,0.028600016385813703,0.05292383693114495,0.01882261971798143
L1 Imp,96,0.002234395271731296,6.363678789198413e-4,cds,146,0.028600016385813703,0.07812566404121397,0.022250612389001816
L1 Imp,97,0.001777905915141031,5.789220220723527e-4,cds,147,0.028600016385813703,0.062164506871503586,0.02024201714651856
L1 Imp,98,0.0018768920282542887,5.909558739838803e-4,cds,148,0.028600016385813703,0.06562555779461973,0.020662780958300733
L1 Imp,99,0.00165489404641776,5.425778566208766e-4,cds,149,0.028600016385813703,0.05786339504471848,0.01897124285879809
L1 Imp,100,0.0021953133759390064,6.443321609546643e-4,cds,150,0.028600016385813703,0.07675916497124578,0.02252908362927612
L1 Imp,1,0.012497442918129664,0.0013660217517950284,threeUTRs,150.75,0.028600016385813703,0.43697327825059207,0.047762970949646315
L1 Imp,2,0.012594822336534525,0.0013326441422290077,threeUTRs,151.5,0.028600016385813703,0.44037815106923717,0.046595922332758916
L1 Imp,3,0.015266995990232173,0.0015254567926616127,threeUTRs,152.25,0.028600016385813703,0.5338107427730345,0.053337619534311737
L1 Imp,4,0.018466047717771005,0.0017068498978536869,threeUTRs,153,0.028600016385813703,0.645665634196301,0.059680032166006924
L1 Imp,5,0.018267881024122586,0.0016642811621790656,threeUTRs,153.75,0.028600016385813703,0.638736732793758,0.05819161568748573
L1 Imp,6,0.016693628158701734,0.001536677364368449,threeUTRs,154.5,0.028600016385813703,0.5836929578467716,0.053729946991592566
L1 Imp,7,0.019700362785312397,0.0017151284298610266,threeUTRs,155.25,0.028600016385813703,0.6888234789643076,0.059969491161262815
L1 Imp,8,0.021097643188747864,0.0017908358833598715,threeUTRs,156,0.028600016385813703,0.7376794091353319,0.06261660340335222
L1 Imp,9,0.02072493325162485,0.0017399943090835555,threeUTRs,156.75,0.028600016385813703,0.724647600618331,0.060838926999588525
L1 Imp,10,0.02026214151167994,0.0017257701917022064,threeUTRs,157.5,0.028600016385813703,0.708466080520515,0.06034158052294788
L1 Imp,11,0.021183130193330846,0.0017813895734861186,threeUTRs,158.25,0.028600016385813703,0.7406684635271115,0.062286313037559334
L1 Imp,12,0.020855106359952854,0.0017509067744299644,threeUTRs,159,0.028600016385813703,0.7291991052948309,0.0612204815133762
L1 Imp,13,0.021119470819975634,0.0017997791663380562,threeUTRs,159.75,0.028600016385813703,0.7384426125871523,0.06292930542623011
L1 Imp,14,0.02108623406320805,0.0017805590110318576,threeUTRs,160.5,0.028600016385813703,0.7372804888904654,0.062257272408943715
L1 Imp,15,0.02155765377742194,0.0017825307695515115,threeUTRs,161.25,0.028600016385813703,0.7537636862374336,0.06232621497502672
L1 Imp,16,0.0238292595598885,0.0019054814224030126,threeUTRs,162,0.028600016385813703,0.8331904163421524,0.06662518638794128
