gene_id,gene_name,imp_target,syp_target,cluster_id,cluster_description,sypKO_l2fc,sypKO_padj
FBgn0032048,Dh31,TRUE,FALSE,Cluster I,Higher Imp binding,-0.451787954,0.392266597
FBgn0052280,CG32280,TRUE,TRUE,Cluster I,Higher Imp binding,-0.448904442,0.417750448
FBgn0010348,Arf79F,TRUE,TRUE,Cluster I,Higher Imp binding,-0.43738841,0.464585302
FBgn0028582,lqf,TRUE,TRUE,Cluster I,Higher Imp binding,-0.43456603,0.033301042
FBgn0030329,prtp,FALSE,TRUE,Cluster I,Higher Imp binding,-0.430400256,0.450552314
FBgn0000014,abd-A,TRUE,FALSE,Cluster I,Higher Imp binding,-0.415894945,0.276872921
FBgn0039427,CG5447,TRUE,FALSE,Cluster I,Higher Imp binding,-0.414472967,0.330729971
FBgn0262732,mbf1,TRUE,TRUE,Cluster I,Higher Imp binding,-0.374440945,0.513322374
FBgn0005777,PpD3,TRUE,FALSE,Cluster I,Higher Imp binding,-0.36156178,0.473554552
FBgn0263077,CG43340,TRUE,FALSE,Cluster I,Higher Imp binding,-0.347715516,0.451428167
FBgn0262716,Arp3,TRUE,TRUE,Cluster I,Higher Imp binding,-0.347311092,0.48702341
FBgn0267348,LanB2,TRUE,FALSE,Cluster I,Higher Imp binding,-0.339576098,0.572334951
FBgn0261258,rgn,TRUE,TRUE,Cluster I,Higher Imp binding,-0.334656276,0.523622878
FBgn0035936,Tsp66E,TRUE,TRUE,Cluster I,Higher Imp binding,-0.319963971,0.615861157
FBgn0267378,sau,TRUE,TRUE,Cluster I,Higher Imp binding,-0.31311396,0.489395635
FBgn0034577,cpa,TRUE,FALSE,Cluster I,Higher Imp binding,-0.30836497,0.543594785
FBgn0001090,bnb,TRUE,FALSE,Cluster I,Higher Imp binding,-0.305729941,0.585433122
FBgn0086361,alph,TRUE,TRUE,Cluster I,Higher Imp binding,-0.305257526,0.226435028
FBgn0035772,Sh3beta,TRUE,TRUE,Cluster I,Higher Imp binding,-0.303722096,0.261735864
FBgn0029155,Men-b,TRUE,TRUE,Cluster I,Higher Imp binding,-0.297072363,0.329967743
FBgn0030574,sbm,TRUE,FALSE,Cluster I,Higher Imp binding,-0.295564886,0.418762201
FBgn0030897,Frq1,TRUE,FALSE,Cluster I,Higher Imp binding,-0.29424324,0.571754645
FBgn0000719,fog,TRUE,TRUE,Cluster I,Higher Imp binding,-0.293764748,0.434561025
FBgn0024362,Naa30A,TRUE,FALSE,Cluster I,Higher Imp binding,-0.292516379,0.377180417
FBgn0029851,CG14445,TRUE,FALSE,Cluster I,Higher Imp binding,-0.291229297,0.73082526
FBgn0020443,eRF3,TRUE,TRUE,Cluster I,Higher Imp binding,-0.283057945,0.562501354
FBgn0263598,Vha68-2,TRUE,TRUE,Cluster I,Higher Imp binding,-0.280977792,0.530996966
FBgn0030038,CG1440,TRUE,FALSE,Cluster I,Higher Imp binding,-0.266855959,0.661344457
FBgn0024244,drm,TRUE,FALSE,Cluster I,Higher Imp binding,-0.263835121,0.701501559
FBgn0014411,Vps26,TRUE,TRUE,Cluster I,Higher Imp binding,-0.245580872,0.493028732
FBgn0014010,Rab5,TRUE,TRUE,Cluster I,Higher Imp binding,-0.241899927,0.541337844
FBgn0283536,Vha13,TRUE,FALSE,Cluster I,Higher Imp binding,-0.238978845,0.547777122
FBgn0026418,Hsc70Cb,TRUE,TRUE,Cluster I,Higher Imp binding,-0.235408866,0.700148922
FBgn0264491,how,TRUE,TRUE,Cluster I,Higher Imp binding,-0.234029557,0.543359831
FBgn0050011,gem,TRUE,TRUE,Cluster I,Higher Imp binding,-0.227999882,0.771169614
FBgn0010226,GstS1,TRUE,TRUE,Cluster I,Higher Imp binding,-0.213584745,0.671643228
FBgn0051249,CG31249,TRUE,FALSE,Cluster I,Higher Imp binding,-0.211954391,0.742842851
FBgn0020255,Ran,TRUE,TRUE,Cluster I,Higher Imp binding,-0.203703591,0.677883323
FBgn0016031,lama,TRUE,TRUE,Cluster I,Higher Imp binding,-0.200451946,0.687566483
FBgn0030753,rngo,TRUE,TRUE,Cluster I,Higher Imp binding,-0.196764074,0.657748093
FBgn0003744,trc,TRUE,FALSE,Cluster I,Higher Imp binding,-0.196497575,0.613370301
FBgn0025683,CG3164,TRUE,TRUE,Cluster I,Higher Imp binding,-0.194032312,0.746861259
FBgn0004103,Pp1-87B,TRUE,TRUE,Cluster I,Higher Imp binding,-0.192226229,0.721042474
FBgn0015622,Cnx99A,TRUE,TRUE,Cluster I,Higher Imp binding,-0.190217908,0.734533211
FBgn0039161,CG13606,TRUE,TRUE,Cluster I,Higher Imp binding,-0.177061307,NA
FBgn0262736,Vha16-1,TRUE,TRUE,Cluster I,Higher Imp binding,-0.174635367,0.632939398
FBgn0020655,ArfGAP1,TRUE,FALSE,Cluster I,Higher Imp binding,-0.171331285,0.668719857
FBgn0267690,CG46026,TRUE,FALSE,Cluster I,Higher Imp binding,-0.170830782,NA
FBgn0036921,RhoGDI,TRUE,TRUE,Cluster I,Higher Imp binding,-0.170616524,0.723778746
FBgn0010341,Cdc42,TRUE,TRUE,Cluster I,Higher Imp binding,-0.163893683,0.715273568
FBgn0035600,Cyt-c1,TRUE,FALSE,Cluster I,Higher Imp binding,-0.16112845,0.821614797
FBgn0031150,bves,TRUE,FALSE,Cluster I,Higher Imp binding,-0.160831059,0.675975312
FBgn0037615,CG11760,TRUE,FALSE,Cluster I,Higher Imp binding,-0.157300123,0.876839565
FBgn0004580,Cbp53E,TRUE,FALSE,Cluster I,Higher Imp binding,-0.157188086,0.849104596
FBgn0040918,schlank,TRUE,FALSE,Cluster I,Higher Imp binding,-0.156267449,0.755537948
FBgn0034802,CNBP,TRUE,TRUE,Cluster I,Higher Imp binding,-0.152346519,0.849164428
FBgn0038947,Sar1,TRUE,TRUE,Cluster I,Higher Imp binding,-0.150923812,0.774120767
FBgn0034551,CG15225,TRUE,TRUE,Cluster I,Higher Imp binding,-0.150665227,NA
FBgn0267252,Ggamma30A,TRUE,FALSE,Cluster I,Higher Imp binding,-0.147347372,0.721255263
FBgn0023215,Mnt,TRUE,TRUE,Cluster I,Higher Imp binding,-0.142483724,0.810825607
FBgn0031097,obst-A,TRUE,TRUE,Cluster I,Higher Imp binding,-0.141210438,0.884029892
FBgn0037702,CG8176,TRUE,FALSE,Cluster I,Higher Imp binding,-0.140053018,0.722837674
FBgn0015019,CCT3,TRUE,TRUE,Cluster I,Higher Imp binding,-0.132170846,0.857471847
FBgn0022097,Vha36-1,TRUE,FALSE,Cluster I,Higher Imp binding,-0.131926693,0.877627799
FBgn0040384,CG32795,TRUE,FALSE,Cluster I,Higher Imp binding,-0.131828021,0.806046656
FBgn0017418,ari-1,TRUE,TRUE,Cluster I,Higher Imp binding,-0.131713083,0.739856177
FBgn0036501,CG7272,TRUE,FALSE,Cluster I,Higher Imp binding,-0.128221154,0.887955949
FBgn0016693,Past1,TRUE,FALSE,Cluster I,Higher Imp binding,-0.124960138,0.81918877
FBgn0263231,bel,TRUE,TRUE,Cluster I,Higher Imp binding,-0.124759036,0.786260556
FBgn0020621,Pkn,TRUE,FALSE,Cluster I,Higher Imp binding,-0.121894078,0.803675039
FBgn0004101,bs,TRUE,FALSE,Cluster I,Higher Imp binding,-0.121727936,0.824983855
FBgn0030529,Clic,TRUE,TRUE,Cluster I,Higher Imp binding,-0.114988714,0.876314658
FBgn0037625,CG11768,TRUE,FALSE,Cluster I,Higher Imp binding,-0.108783728,NA
FBgn0037020,Pex14,TRUE,FALSE,Cluster I,Higher Imp binding,-0.108447438,0.870797441
FBgn0032689,CG10413,TRUE,TRUE,Cluster I,Higher Imp binding,-0.108280138,0.843847404
FBgn0020279,lig,TRUE,TRUE,Cluster I,Higher Imp binding,-0.105004579,0.789545337
FBgn0035756,unc-13-4A,TRUE,FALSE,Cluster I,Higher Imp binding,-0.103975995,0.866850113
FBgn0026250,eIF1A,TRUE,TRUE,Cluster I,Higher Imp binding,-0.10258369,0.806498058
FBgn0034070,SP2353,TRUE,FALSE,Cluster I,Higher Imp binding,-0.102545375,0.826909746
FBgn0261268,Cul3,TRUE,TRUE,Cluster I,Higher Imp binding,-0.102544869,0.847333566
FBgn0034143,CG8303,TRUE,FALSE,Cluster I,Higher Imp binding,-0.099594157,0.918277123
FBgn0017572,Mo25,TRUE,TRUE,Cluster I,Higher Imp binding,-0.098923752,0.85307145
FBgn0034723,CG13506,TRUE,FALSE,Cluster I,Higher Imp binding,-0.094537963,0.857062094
FBgn0015286,Rala,TRUE,TRUE,Cluster I,Higher Imp binding,-0.09179513,0.85623704
FBgn0026077,Gasp,TRUE,TRUE,Cluster I,Higher Imp binding,-0.088007577,0.922560581
FBgn0036272,Sms,TRUE,TRUE,Cluster I,Higher Imp binding,-0.087797084,0.89583568
FBgn0030890,CG7536,TRUE,FALSE,Cluster I,Higher Imp binding,-0.086596565,0.87543792
FBgn0263987,spoon,TRUE,TRUE,Cluster I,Higher Imp binding,-0.081299587,0.862261549
FBgn0033649,pyr,TRUE,FALSE,Cluster I,Higher Imp binding,-0.078716897,0.873375136
FBgn0034797,nahoda,TRUE,FALSE,Cluster I,Higher Imp binding,-0.076228604,0.922560581
FBgn0262483,Rbp,TRUE,FALSE,Cluster I,Higher Imp binding,-0.075072289,0.895579705
FBgn0019925,Surf4,TRUE,TRUE,Cluster I,Higher Imp binding,-0.0732323,0.903750575
FBgn0033124,Tsp42Ec,TRUE,FALSE,Cluster I,Higher Imp binding,-0.062262893,NA
FBgn0036043,CG8177,TRUE,FALSE,Cluster I,Higher Imp binding,-0.059766669,0.928998349
FBgn0039241,CG11089,TRUE,FALSE,Cluster I,Higher Imp binding,-0.057242328,0.928134199
FBgn0035400,CG11537,TRUE,TRUE,Cluster I,Higher Imp binding,-0.055454608,0.90083841
FBgn0033777,CG17574,TRUE,FALSE,Cluster I,Higher Imp binding,-0.054232197,0.926344698
FBgn0019960,Mitofilin,TRUE,TRUE,Cluster I,Higher Imp binding,-0.05398963,0.9154493
FBgn0003016,osp,TRUE,TRUE,Cluster I,Higher Imp binding,-0.050820753,0.914111256
FBgn0040285,Scamp,TRUE,TRUE,Cluster I,Higher Imp binding,-0.049820065,0.9154493
FBgn0030812,wcy,TRUE,FALSE,Cluster I,Higher Imp binding,-0.048956673,0.933855594
FBgn0051523,CG31523,TRUE,FALSE,Cluster I,Higher Imp binding,-0.048613648,0.918860375
FBgn0030928,CG15044,TRUE,FALSE,Cluster I,Higher Imp binding,-0.046496095,NA
FBgn0011818,oaf,TRUE,FALSE,Cluster I,Higher Imp binding,-0.046406108,0.930131472
FBgn0003169,put,TRUE,FALSE,Cluster I,Higher Imp binding,-0.046160265,0.937500022
FBgn0036271,Pbgs,TRUE,FALSE,Cluster I,Higher Imp binding,-0.042862288,0.960330951
FBgn0267336,Glut4EF,TRUE,FALSE,Cluster I,Higher Imp binding,-0.042767236,0.949473091
FBgn0013750,Arf51F,TRUE,FALSE,Cluster I,Higher Imp binding,-0.040518969,0.934199956
FBgn0015789,Rab10,TRUE,FALSE,Cluster I,Higher Imp binding,-0.039656967,0.945371498
FBgn0085387,shakB,TRUE,FALSE,Cluster I,Higher Imp binding,-0.038339086,0.966262528
FBgn0011661,Moe,TRUE,TRUE,Cluster I,Higher Imp binding,-0.036104158,0.940206215
FBgn0283535,Vha26,TRUE,TRUE,Cluster I,Higher Imp binding,-0.034416482,0.942827389
FBgn0031020,Naa15-16,TRUE,FALSE,Cluster I,Higher Imp binding,-0.032577281,0.948159804
FBgn0039132,AP-1sigma,TRUE,FALSE,Cluster I,Higher Imp binding,-0.031309308,0.955941573
FBgn0261549,rdgA,TRUE,FALSE,Cluster I,Higher Imp binding,-0.028490816,0.975406221
FBgn0032901,sky,TRUE,TRUE,Cluster I,Higher Imp binding,-0.027634881,0.978088469
FBgn0263132,Cht6,TRUE,TRUE,Cluster I,Higher Imp binding,-0.02605591,0.971143483
FBgn0262975,cnc,TRUE,FALSE,Cluster I,Higher Imp binding,-0.022567614,0.965508679
FBgn0039358,CG5028,TRUE,TRUE,Cluster I,Higher Imp binding,-0.021849182,0.977349011
FBgn0011300,babo,TRUE,TRUE,Cluster I,Higher Imp binding,-0.020069288,0.974674834
FBgn0028833,Dak1,TRUE,FALSE,Cluster I,Higher Imp binding,-0.017789538,0.978595571
FBgn0030590,CG9518,TRUE,FALSE,Cluster I,Higher Imp binding,-0.015451265,0.988711802
FBgn0033463,CG1513,TRUE,FALSE,Cluster I,Higher Imp binding,-0.013714514,0.977339235
FBgn0004921,Ggamma1,TRUE,TRUE,Cluster I,Higher Imp binding,-0.013257505,0.978595571
FBgn0264693,ens,TRUE,TRUE,Cluster I,Higher Imp binding,-0.010521096,0.984194973
FBgn0044826,Pak3,TRUE,FALSE,Cluster I,Higher Imp binding,-0.008996518,0.986464145
FBgn0000259,CkIIbeta,TRUE,TRUE,Cluster I,Higher Imp binding,-0.006837951,0.991638129
FBgn0264493,rdx,TRUE,TRUE,Cluster I,Higher Imp binding,-0.005971514,0.991766965
FBgn0029881,pigs,TRUE,TRUE,Cluster I,Higher Imp binding,-0.005761241,0.993172945
FBgn0082582,tmod,TRUE,FALSE,Cluster I,Higher Imp binding,-0.004777598,0.993172945
FBgn0024273,WASp,TRUE,FALSE,Cluster I,Higher Imp binding,-0.002744912,0.994573825
FBgn0032420,CG6583,TRUE,FALSE,Cluster I,Higher Imp binding,-0.002474311,0.995713473
FBgn0003557,Su(dx),TRUE,FALSE,Cluster I,Higher Imp binding,0.002092586,0.995713473
FBgn0052654,Sec16,TRUE,FALSE,Cluster I,Higher Imp binding,0.002864341,0.995713473
FBgn0051268,CG31268,TRUE,FALSE,Cluster I,Higher Imp binding,0.00654851,NA
FBgn0027779,VhaSFD,TRUE,FALSE,Cluster I,Higher Imp binding,0.007587263,0.992113703
FBgn0033460,Sec24AB,TRUE,TRUE,Cluster I,Higher Imp binding,0.008494667,0.986736437
FBgn0267975,vib,TRUE,FALSE,Cluster I,Higher Imp binding,0.01071087,0.986377945
FBgn0262511,Vha44,TRUE,TRUE,Cluster I,Higher Imp binding,0.011039806,0.983578695
FBgn0033434,CG1902,TRUE,FALSE,Cluster I,Higher Imp binding,0.011683592,0.988335168
FBgn0030186,CG2962,TRUE,FALSE,Cluster I,Higher Imp binding,0.015339065,NA
FBgn0027835,Dp1,TRUE,TRUE,Cluster I,Higher Imp binding,0.015655768,0.974683096
FBgn0033876,Syngr,TRUE,FALSE,Cluster I,Higher Imp binding,0.017987131,0.977349011
FBgn0014133,bif,TRUE,FALSE,Cluster I,Higher Imp binding,0.019657556,0.971143483
FBgn0036030,CG6767,TRUE,TRUE,Cluster I,Higher Imp binding,0.020916961,0.973672456
FBgn0266446,CG45076,TRUE,TRUE,Cluster I,Higher Imp binding,0.021480153,0.98499643
FBgn0259917,CG42446,TRUE,TRUE,Cluster I,Higher Imp binding,0.024907094,NA
FBgn0033504,CAP,TRUE,TRUE,Cluster I,Higher Imp binding,0.026662059,0.974211936
FBgn0030276,Dlic,TRUE,TRUE,Cluster I,Higher Imp binding,0.028475421,0.947253266
FBgn0035583,CG13704,TRUE,FALSE,Cluster I,Higher Imp binding,0.030456331,NA
FBgn0053556,form3,TRUE,FALSE,Cluster I,Higher Imp binding,0.032516585,0.961002428
FBgn0033252,CG12769,TRUE,FALSE,Cluster I,Higher Imp binding,0.03393062,0.97343632
FBgn0041789,Pax,TRUE,FALSE,Cluster I,Higher Imp binding,0.035644933,0.94192322
FBgn0052428,CG32428,TRUE,FALSE,Cluster I,Higher Imp binding,0.035661208,0.945358542
FBgn0037374,jagn,TRUE,TRUE,Cluster I,Higher Imp binding,0.036790899,0.947328738
FBgn0004657,mys,TRUE,TRUE,Cluster I,Higher Imp binding,0.039120789,0.927898904
FBgn0000273,Pka-C1,TRUE,TRUE,Cluster I,Higher Imp binding,0.039221516,0.935963439
FBgn0004924,Top1,TRUE,TRUE,Cluster I,Higher Imp binding,0.039602709,0.928220601
FBgn0026061,Mipp1,TRUE,TRUE,Cluster I,Higher Imp binding,0.041298036,0.970478724
FBgn0052816,CG32816,TRUE,FALSE,Cluster I,Higher Imp binding,0.044860624,0.968467846
FBgn0038839,Ktl,TRUE,FALSE,Cluster I,Higher Imp binding,0.045168345,0.948622026
FBgn0265877,CG44666,TRUE,FALSE,Cluster I,Higher Imp binding,0.046701055,NA
FBgn0000659,fkh,TRUE,FALSE,Cluster I,Higher Imp binding,0.046969852,0.933451587
FBgn0024947,NTPase,TRUE,FALSE,Cluster I,Higher Imp binding,0.047443919,0.927543916
FBgn0020510,Abi,TRUE,FALSE,Cluster I,Higher Imp binding,0.048244618,0.92367628
FBgn0001624,dlg1,TRUE,TRUE,Cluster I,Higher Imp binding,0.049296469,0.948206814
FBgn0013343,Syx1A,TRUE,FALSE,Cluster I,Higher Imp binding,0.051301225,0.948206814
FBgn0011570,cpb,TRUE,TRUE,Cluster I,Higher Imp binding,0.056634,0.922319264
FBgn0031580,CG15423,TRUE,FALSE,Cluster I,Higher Imp binding,0.057586373,NA
FBgn0028331,l(1)G0289,TRUE,FALSE,Cluster I,Higher Imp binding,0.057661871,0.892491943
FBgn0016070,smg,TRUE,FALSE,Cluster I,Higher Imp binding,0.058974069,0.906828099
FBgn0034011,CG8160,TRUE,FALSE,Cluster I,Higher Imp binding,0.061538724,NA
FBgn0263396,sqd,TRUE,TRUE,Cluster I,Higher Imp binding,0.062593768,0.916099417
FBgn0031589,Naprt,TRUE,TRUE,Cluster I,Higher Imp binding,0.0644223,0.901700379
FBgn0085385,bma,TRUE,FALSE,Cluster I,Higher Imp binding,0.066420724,0.93115627
FBgn0038515,CG5823,TRUE,FALSE,Cluster I,Higher Imp binding,0.071066049,0.892491943
FBgn0029992,Upf2,TRUE,FALSE,Cluster I,Higher Imp binding,0.071715295,0.873259743
FBgn0033529,CG17765,TRUE,TRUE,Cluster I,Higher Imp binding,0.072696921,0.9154493
FBgn0083962,CG34126,TRUE,TRUE,Cluster I,Higher Imp binding,0.074690273,0.904061298
FBgn0037248,srl,TRUE,TRUE,Cluster I,Higher Imp binding,0.077569012,0.867605909
FBgn0003093,Pkc98E,TRUE,FALSE,Cluster I,Higher Imp binding,0.078940017,0.904061298
FBgn0260934,par-1,TRUE,TRUE,Cluster I,Higher Imp binding,0.079733387,0.853872671
FBgn0259224,CG42324,TRUE,FALSE,Cluster I,Higher Imp binding,0.082087778,0.860778373
FBgn0015279,Pi3K92E,TRUE,FALSE,Cluster I,Higher Imp binding,0.08397908,0.863990651
FBgn0025866,CalpB,TRUE,FALSE,Cluster I,Higher Imp binding,0.084406159,0.846413439
FBgn0010303,hep,TRUE,FALSE,Cluster I,Higher Imp binding,0.08529999,0.903750575
FBgn0014388,sty,TRUE,TRUE,Cluster I,Higher Imp binding,0.086068945,0.876839565
FBgn0032811,CG10268,TRUE,FALSE,Cluster I,Higher Imp binding,0.086625306,0.905454285
FBgn0004656,fs(1)h,TRUE,TRUE,Cluster I,Higher Imp binding,0.086800207,0.90959169
FBgn0020620,RN-tre,TRUE,FALSE,Cluster I,Higher Imp binding,0.087982785,0.853872671
FBgn0037414,Osi7,TRUE,FALSE,Cluster I,Higher Imp binding,0.090668758,NA
FBgn0005671,Vha55,TRUE,TRUE,Cluster I,Higher Imp binding,0.092982382,0.818465614
FBgn0016041,Tom40,TRUE,TRUE,Cluster I,Higher Imp binding,0.093389466,0.834972716
FBgn0022382,Pka-R2,TRUE,TRUE,Cluster I,Higher Imp binding,0.094295041,0.820286399
FBgn0030672,CG9281,TRUE,TRUE,Cluster I,Higher Imp binding,0.095853388,0.845576433
FBgn0002921,Atpalpha,TRUE,TRUE,Cluster I,Higher Imp binding,0.096557795,0.809520933
FBgn0028341,Ptpmeg2,TRUE,FALSE,Cluster I,Higher Imp binding,0.098259682,0.88132947
FBgn0039561,mfrn,TRUE,TRUE,Cluster I,Higher Imp binding,0.101027961,0.84466444
FBgn0026439,Eaat1,TRUE,TRUE,Cluster I,Higher Imp binding,0.101537606,0.874505206
FBgn0011274,Dif,TRUE,FALSE,Cluster I,Higher Imp binding,0.105501145,0.883944334
FBgn0262515,VhaAC45,TRUE,FALSE,Cluster I,Higher Imp binding,0.107149797,0.826221956
FBgn0083228,Frq2,TRUE,FALSE,Cluster I,Higher Imp binding,0.108273902,0.855160956
FBgn0036374,Spt20,TRUE,FALSE,Cluster I,Higher Imp binding,0.108840124,0.867817886
FBgn0034420,CG10737,TRUE,FALSE,Cluster I,Higher Imp binding,0.109845148,0.810824268
FBgn0262871,lute,TRUE,FALSE,Cluster I,Higher Imp binding,0.109867863,0.833893704
FBgn0283468,slmb,TRUE,FALSE,Cluster I,Higher Imp binding,0.111493385,0.76879138
FBgn0033476,oys,TRUE,FALSE,Cluster I,Higher Imp binding,0.111523692,0.821932543
FBgn0263773,fok,TRUE,FALSE,Cluster I,Higher Imp binding,0.114370269,0.859740245
FBgn0020626,Osbp,TRUE,FALSE,Cluster I,Higher Imp binding,0.115719341,0.806498058
FBgn0051687,CG31687,TRUE,FALSE,Cluster I,Higher Imp binding,0.117263061,0.883156574
FBgn0265630,sno,TRUE,FALSE,Cluster I,Higher Imp binding,0.118995738,0.821932543
FBgn0036621,roq,TRUE,TRUE,Cluster I,Higher Imp binding,0.119500416,0.866013231
FBgn0261955,kdn,TRUE,FALSE,Cluster I,Higher Imp binding,0.1223341,0.832580138
FBgn0285913,red,TRUE,FALSE,Cluster I,Higher Imp binding,0.123569339,0.776499517
FBgn0265595,CG44422,TRUE,FALSE,Cluster I,Higher Imp binding,0.125617354,0.876474211
FBgn0011754,PhKgamma,TRUE,FALSE,Cluster I,Higher Imp binding,0.127633952,0.81918877
FBgn0040726,dpr1,TRUE,FALSE,Cluster I,Higher Imp binding,0.129412434,0.81918877
FBgn0037358,elm,TRUE,FALSE,Cluster I,Higher Imp binding,0.131511562,0.804421074
FBgn0262867,Ptr,TRUE,FALSE,Cluster I,Higher Imp binding,0.134228149,0.826221956
FBgn0259143,CG42258,TRUE,FALSE,Cluster I,Higher Imp binding,0.138531018,0.763733786
FBgn0003870,ttk,TRUE,TRUE,Cluster I,Higher Imp binding,0.139968323,0.790612578
FBgn0033382,Hydr1,TRUE,FALSE,Cluster I,Higher Imp binding,0.14158729,0.798004066
FBgn0034087,clu,TRUE,FALSE,Cluster I,Higher Imp binding,0.141823384,0.722802366
FBgn0266350,lncRNA:CR44999,TRUE,TRUE,Cluster I,Higher Imp binding,0.141965789,0.879158672
FBgn0026403,Ndg,TRUE,FALSE,Cluster I,Higher Imp binding,0.145254347,0.876474211
FBgn0010434,cora,TRUE,FALSE,Cluster I,Higher Imp binding,0.14913311,0.635855465
FBgn0026059,Mhcl,TRUE,FALSE,Cluster I,Higher Imp binding,0.149798432,0.805391859
FBgn0261801,CG42747,TRUE,FALSE,Cluster I,Higher Imp binding,0.150540975,0.795467906
FBgn0035001,Slik,TRUE,FALSE,Cluster I,Higher Imp binding,0.150674728,0.768975122
FBgn0267821,da,TRUE,FALSE,Cluster I,Higher Imp binding,0.152607777,0.723950038
FBgn0261556,CG42674,TRUE,FALSE,Cluster I,Higher Imp binding,0.155254036,0.799488922
FBgn0085383,CG34354,TRUE,FALSE,Cluster I,Higher Imp binding,0.157509613,0.822342821
FBgn0027527,Osi6,TRUE,TRUE,Cluster I,Higher Imp binding,0.158685546,NA
FBgn0053147,Hs3st-A,TRUE,FALSE,Cluster I,Higher Imp binding,0.159020465,0.77530967
FBgn0263289,scrib,TRUE,FALSE,Cluster I,Higher Imp binding,0.160510442,0.794330551
FBgn0030893,RhoGAP16F,TRUE,FALSE,Cluster I,Higher Imp binding,0.161942118,0.740858573
FBgn0261822,Bsg,TRUE,TRUE,Cluster I,Higher Imp binding,0.163097076,0.751431997
FBgn0263111,cac,TRUE,FALSE,Cluster I,Higher Imp binding,0.165410408,0.821614797
FBgn0030930,Pgant7,TRUE,FALSE,Cluster I,Higher Imp binding,0.166746313,0.677883323
FBgn0260970,Ubr3,TRUE,TRUE,Cluster I,Higher Imp binding,0.167327165,0.77049807
FBgn0037416,Osi9,TRUE,TRUE,Cluster I,Higher Imp binding,0.167778627,0.85803204
FBgn0039303,CG11857,TRUE,FALSE,Cluster I,Higher Imp binding,0.170542033,0.723950038
FBgn0036321,CG14120,TRUE,FALSE,Cluster I,Higher Imp binding,0.172594347,NA
FBgn0263108,BtbVII,TRUE,TRUE,Cluster I,Higher Imp binding,0.173804373,0.76345889199999994
FBgn0053100,eIF4EHP,TRUE,TRUE,Cluster I,Higher Imp binding,0.173904679,0.82007098
FBgn0031897,CG13784,TRUE,FALSE,Cluster I,Higher Imp binding,0.176860909,0.688803161
FBgn0031698,Ncoa6,TRUE,FALSE,Cluster I,Higher Imp binding,0.178844387,0.772145597
FBgn0000454,Dip-B,TRUE,FALSE,Cluster I,Higher Imp binding,0.17983924,0.768861366
FBgn0039528,dsd,TRUE,FALSE,Cluster I,Higher Imp binding,0.183811434,0.710724745
FBgn0263456,nwk,TRUE,FALSE,Cluster I,Higher Imp binding,0.184472583,0.710130502
FBgn0263220,Hk,TRUE,FALSE,Cluster I,Higher Imp binding,0.192139011,0.816143744
FBgn0036099,CG11811,TRUE,FALSE,Cluster I,Higher Imp binding,0.193664915,0.639794543
FBgn0020622,Pi3K21B,TRUE,TRUE,Cluster I,Higher Imp binding,0.194298266,0.571754645
FBgn0053988,Mid1,TRUE,FALSE,Cluster I,Higher Imp binding,0.196302918,0.798004066
FBgn0005694,Aef1,TRUE,FALSE,Cluster I,Higher Imp binding,0.199359701,0.730235289
FBgn0260938,tay,TRUE,FALSE,Cluster I,Higher Imp binding,0.20154582099999999,0.726303818
FBgn0266579,tau,TRUE,FALSE,Cluster I,Higher Imp binding,0.204885054,0.57007796
