gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,padj,syp_target,imp_target,RBP_target,cluster_id,cluster_description,cluster_code,gene_biotype,label,label_colour_id,exp
FBgn0052364,tut,16.21302368,-1.144090551,0.328877554,-3.463161969,0.016239072,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0266227,CR44922,218.5274825,-1.140365801,0.2209066,-5.155217668,3.10835e-5,FALSE,TRUE,Imp target only,Cluster II,"Higher Imp
binding",High_Imp,ncRNA,NA,3,Syp KO L3 brain RNA-seq
FBgn0033724,CG8501,25.45995269,-1.130231036,0.323490669,-3.471331807,0.015885644,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0085325,CG34296,21.3409088,-1.130226619,0.32656333,-3.539358798,0.013192817,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0027611,LManII,511.5259178,-1.122359075,0.277346147,-4.048450487,0.002815058,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037265,spartin,105.9684299,-1.122090071,0.231644906,-4.827818069,1.37033e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035483,Mul1,232.7529021,-1.121569928,0.192918608,-5.805157276,1.08033e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0264703,CR43972,20.98260553,-1.118159742,0.326667718,-3.408387856,0.018828483,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0263048,Gpdh3,980.63752,-1.111748663,0.213893717,-5.196780881,2.5451e-5,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0046689,Takl1,14.2539422,-1.108991457,0.327723251,-3.388926662,0.019697202,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035859,CG13678,11.80262354,-1.108841549,0.328858428,-3.302528866,0.02479441,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0024294,Spn43Aa,168.0748081,-1.10615433,0.313838284,-3.535471437,0.013308284,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038337,CG6125,49.42039964,-1.105849001,0.289329326,-3.798896742,0.006099513,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0004592,Eig71Ee,50.52882067,-1.102012766,0.328841425,-3.403834568,0.019044647,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0265052,St3,79.68054483,-1.096922377,0.251712946,-4.341155696,9.79588e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0029863,CG3823,36.62987736,-1.093910824,0.31138108,-3.497977895,0.014795653,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0264562,Hr4,2509.794768,-1.093575608,0.28271874,-3.872521828,0.004840527,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0052182,CG32182,67.61614522,-1.066088649,0.252511494,-4.203573502,0.001648881,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0266681,CR45171,62.38199837,-1.065640873,0.31216002,-3.415126323,0.018621918,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0034988,cN-IIIB,161.9909018,-1.058730663,0.223545818,-4.727713531,2.08363e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037323,CG2663,15.58230043,-1.055947953,0.328094104,-3.220888088,0.030874135,FALSE,TRUE,Imp target only,Cluster II,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0263345,CR43426,44.67842808,-1.049454273,0.28772076,-3.628834223,0.0101388,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0034540,Lrt,195.572316,-1.049404807,0.202831477,-5.166228387,2.9641e-5,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0263507,CR43496,33.3475154,-1.04797493,0.301158619,-3.454351609,0.016458102,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035670,CG10472,79.94421618,-1.045482456,0.307087833,-3.405461619,0.018981344,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0052418,vito,92.11804214,-1.039464874,0.284933184,-3.640406425,0.009777999,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038769,CG10889,138.5958132,-1.037359983,0.216747742,-4.775421059,1.71781e-4,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0039201,CG13617,5.604026802,-1.034620029,0.306066045,-3.361872996,0.021093613,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0264862,CR44053,34.7656285,-1.033855918,0.292561111,-3.508848805,0.014286492,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0031182,Cyp6t1,19.71913543,-1.032292067,0.318095252,-3.20838537,0.031687587,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0040251,Ugt302K1,45.64086526,-1.02843794,0.326111973,-3.166033271,0.035303382,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037515,Sp7,116.6340769,-1.027493602,0.266785695,-3.843967251,0.005330597,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0034139,CG4927,11.52865,-1.026017031,0.323072493,-3.20392497,0.032010313,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0014427,CG11899,151.7992811,-1.010670644,0.303044285,-3.336535464,0.022639272,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0039081,Irk2,112.2227596,-1.005771208,0.256889271,-3.90699025,0.004361136,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0025525,bab2,1719.592067,-1.000352297,0.152430376,-6.561823419,1.25729e-8,FALSE,TRUE,Imp target only,Cluster I,"Higher Imp
binding",High_Imp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0051324,CG31324,450.778276,-0.994943724,0.219122984,-4.538983595,4.50558e-4,TRUE,FALSE,Syp target only,Cluster V,"Peak L2 Syp
binding",Peak_L2Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0003943,Ubi-p63E,4915.571174,-0.989731409,0.280406287,-3.532716639,0.013407578,TRUE,FALSE,Syp target only,Cluster IV,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0036351,CG14107,16.82117914,-0.987350364,0.328518452,-2.997468762,0.052522452,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0036364,CG14109,8.416939776,-0.984197257,0.325914513,-2.972208495,0.05584591,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035300,CG1139,9.367567066,-0.98325789,0.31869271,-3.104308681,0.041241755,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0023541,Cyp4d14,94.53722208,-0.982995641,0.26727714,-3.671117947,0.009062169,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0031549,Spindly,459.716749,-0.98273329,0.240258394,-4.088719149,0.002479936,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0264325,Atg6,437.5549681,-0.976208832,0.176882038,-5.516056465,5.04782e-6,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0027930,MP1,234.055295,-0.975771351,0.256733347,-3.797920378,0.006099513,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0035610,Lkr,161.8478107,-0.974146167,0.239708464,-4.05839293,0.002725123,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0036565,CG5235,232.001009,-0.974054268,0.282338194,-3.4492954,0.016723712,TRUE,FALSE,Syp target only,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0030357,Sclp,30.4216003,-0.973172666,0.31764003,-3.048837669,0.047361919,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038180,Cht5,84.87715055,-0.969983566,0.300460151,-3.223935218,0.030683259,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0014469,Cyp4e2,21.81839741,-0.968807756,0.324138901,-2.968832549,0.056100726,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0037191,CG14448,28.23187933,-0.959660621,0.32181007700000003,-2.978378547,0.055238506,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0034218,CG18467,120.5273851,-0.954878499,0.289290373,-3.299178127,0.024915164,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0051032,CR31032,48.56563396,-0.949452846,0.268235721,-3.523145885,0.013696781,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0004595,pros,187068.7149,-0.947910243,0.27819174,-3.410063527,0.018828483,TRUE,TRUE,Co-target,Cluster III,"Higher Syp
binding",High_Syp,protein_coding,NA,3,Syp KO L3 brain RNA-seq
FBgn0038179,CG9312,13.61721011,-0.946203706,0.328787725,-2.864615198,0.071574216,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0034126,jtb,43.22261925,-0.940327634,0.297282146,-3.151070449,0.036551273,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0038045,NANS,57.04005384,-0.936119137,0.300521542,-3.106469797,0.041022941,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
FBgn0267185,CR45625,10.25721659,-0.929087306,0.328488506,-2.798971984,0.083306576,FALSE,FALSE,non-target,NA,NA,NA,NA,NA,3,Syp KO L3 brain RNA-seq
