gene_id,combined_patterns,ALNB_clusters,T2NB_clusters,MBNB_clusters,gene_name,temporal_group,imp_target,syp_target,RBP target,cluster_id,Cluster profile,cluster_code,gene_biotype
FBgn0003326,Peak-2;NA;NA,Peak-2,NA,NA,sca,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003360,Peak-1;NA;Peak-1,Peak-1,NA,Peak-1,sesB,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0003396,Mid-peaks;Peak-1;Peak-1,Mid-peaks,Peak-1,Peak-1,shn,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003435,Up-regulated;NA;Peak-1,Up-regulated,NA,Peak-1,sm,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0003448,Down-regulated;Down-regulated;NA,Down-regulated,Down-regulated,NA,sna,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003460,Peak-1;NA;NA,Peak-1,NA,NA,so,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003502,Mid-peaks;Down-regulated;NA,Mid-peaks,Down-regulated,NA,Btk29A,early,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0003517,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,sta,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0003520,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,stau,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0003525,Up-regulated;Peak-3;NA,Up-regulated,Peak-3,NA,stg,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0003567,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,su(Hw),late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003651,Down-regulated;Down-regulated;NA,Down-regulated,Down-regulated,NA,svp,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0003660,Up-regulated;NA;NA,Up-regulated,NA,NA,Syb,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003716,Mid-peaks;Peak-2;Peak-1,Mid-peaks,Peak-2,Peak-1,tkv,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0003748,Peak-3;NA;Mid-peaks,Peak-3,NA,Mid-peaks,Treh,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003884,Peak-2;V3-regulated;NA,Peak-2,V3-regulated,NA,alphaTub84B,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0003892,Peak-1;NA;Peak-1,Peak-1,NA,Peak-1,ptc,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0003941,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL40,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0003942,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS27A,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0003996,Peak-1;NA;NA,Peak-1,NA,NA,w,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004049,Peak-3;NA;NA,Peak-3,NA,NA,yrt,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004102,Up-regulated;NA;Peak-1,Up-regulated,NA,Peak-1,oc,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004103,Up-regulated;NA;NA,Up-regulated,NA,NA,Pp1-87B,late,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0004177,Up-regulated;NA;Up-regulated,Up-regulated,NA,Up-regulated,mts,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0004362,Up-regulated;NA;NA,Up-regulated,NA,NA,HmgD,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0004403,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS14a,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004404,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS14b,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004583,Peak-3;NA;Peak-1,Peak-3,NA,Peak-1,ex,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0004595,Peak-3;NA;NA,Peak-3,NA,NA,pros,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0004606,Peak-2;NA;NA,Peak-2,NA,NA,zfh1,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0004646,Up-regulated;NA;NA,Up-regulated,NA,NA,ogre,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0004652,Mid-peaks;Down-regulated;Mid-peaks,Mid-peaks,Down-regulated,Mid-peaks,fru,early,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0004811,Up-regulated;NA;Up-regulated,Up-regulated,NA,Up-regulated,fs(2)ltoPP43,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004867,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,RpS2,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0004875,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,enc,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0004878,Peak-2;Peak-3;NA,Peak-2,Peak-3,NA,cas,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0004915,Up-regulated;NA;NA,Up-regulated,NA,NA,TfIIB,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0005533,Peak-2;NA;NA,Peak-2,NA,NA,RpS17,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0005593,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL7,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0005671,Up-regulated;NA;NA,Up-regulated,NA,NA,Vha55,late,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0005672,Mid-peaks;Down-regulated;Peak-1,Mid-peaks,Down-regulated,Peak-1,spi,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0005677,Peak-3;NA;Peak-2,Peak-3,NA,Peak-2,dac,late,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0005771,Peak-3;NA;NA,Peak-3,NA,NA,noc,late,TRUE,FALSE,Imp target only,Cluster VI,Other,Other,protein_coding
FBgn0010039,Down-regulated;Down-regulated;NA,Down-regulated,Down-regulated,NA,GstD3,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0010078,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL23,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0010113,Mid-peaks;NA;NA,Mid-peaks,NA,NA,hdc,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0010113,Mid-peaks;NA;NA,Mid-peaks,NA,NA,hdc,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0010114,Peak-2;Peak-1;NA,Peak-2,Peak-1,NA,hig,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0010198,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS15Aa,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0010238,Up-regulated;Peak-3;NA,Up-regulated,Peak-3,NA,Lac,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0010265,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,RpS13,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0010288,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,Uch,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0010313,Peak-3;Down-regulated;NA,Peak-3,Down-regulated,NA,corto,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0010379,Peak-3;NA;NA,Peak-3,NA,NA,Akt1,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0010382,Mid-peaks;NA;NA,Mid-peaks,NA,NA,CycE,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0010382,Mid-peaks;NA;NA,Mid-peaks,NA,NA,CycE,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0010408,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS9,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0010409,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,RpL18A,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0010411,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS18,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0010482,Down-regulated;NA;NA,Down-regulated,NA,NA,l(2)01289,early,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0010488,Down-regulated;Down-regulated;Peak-1,Down-regulated,Down-regulated,Peak-1,NAT1,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0010611,Down-regulated;Peak-1;Down-regulated,Down-regulated,Peak-1,Down-regulated,Hmgs,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0010612,Peak-2;NA;NA,Peak-2,NA,NA,ATPsynG,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0010620,Mid-peaks;Peak-2;Down-regulated,Mid-peaks,Peak-2,Down-regulated,CG10939,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0010660,Up-regulated;NA;NA,Up-regulated,NA,NA,Nup214,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0010774,V2-regulated;Peak-3;NA,V2-regulated,Peak-3,NA,Ref1,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0010909,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,msn,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0011224,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,heph,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0011284,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS4,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0011291,Peak-2;NA;NA,Peak-2,NA,NA,Taf11,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0011300,Peak-1;Peak-1;NA,Peak-1,Peak-1,NA,babo,early,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0011305,Up-regulated;NA;Up-regulated,Up-regulated,NA,Up-regulated,Rsf1,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0011586,V2-regulated;Peak-1;NA,V2-regulated,Peak-1,NA,e(r),early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0011606,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,Klp3A,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0011653,Peak-3;Up-regulated;Mid-peaks,Peak-3,Up-regulated,Mid-peaks,mas,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0011659,Peak-3;NA;NA,Peak-3,NA,NA,Mlh1,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0011766,Peak-3;NA;NA,Peak-3,NA,NA,E2f1,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0011787,Peak-2;NA;NA,Peak-2,NA,NA,mRpL12,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0013269,Peak-2;NA;NA,Peak-2,NA,NA,Fkbp39,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0013325,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL11,early,TRUE,TRUE,Co-target,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0013676,Peak-2;NA;NA,Peak-2,NA,NA,mt:CoIII,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0013725,Mid-peaks;NA;Peak-1,Mid-peaks,NA,Peak-1,phyl,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0013733,Mid-peaks;Peak-1;NA,Mid-peaks,Peak-1,NA,shot,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0014010,Up-regulated;NA;NA,Up-regulated,NA,NA,Rab5,late,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0014026,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL7A,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0014037,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,Su(Tpl),early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0014163,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,fax,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0014189,Up-regulated;NA;NA,Up-regulated,NA,NA,Hel25E,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0014391,Peak-2;NA;NA,Peak-2,NA,NA,sun,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0014857,Up-regulated;Up-regulated;Peak-3,Up-regulated,Up-regulated,Peak-3,His3.3A,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0014869,Up-regulated;Up-regulated;Peak-3,Up-regulated,Up-regulated,Peak-3,Pglym78,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0014870,Peak-3;NA;NA,Peak-3,NA,NA,Psi,late,TRUE,TRUE,Co-target,Cluster VI,Other,Other,protein_coding
FBgn0015024,Up-regulated;NA;NA,Up-regulated,NA,NA,CkIalpha,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0015221,Peak-3;NA;NA,Peak-3,NA,NA,Fer2LCH,late,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0015222,Peak-3;NA;NA,Peak-3,NA,NA,Fer1HCH,late,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0015229,Peak-3;NA;Down-regulated,Peak-3,NA,Down-regulated,glec,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0015268,Peak-3;NA;NA,Peak-3,NA,NA,Nap1,late,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0015269,Peak-2;NA;NA,Peak-2,NA,NA,Nf1,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0015283,Peak-2;NA;NA,Peak-2,NA,NA,Rpn10,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0015288,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,RpL22,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015299,Up-regulated;NA;NA,Up-regulated,NA,NA,Ssb-c31a,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015399,Mid-peaks;NA;NA,Mid-peaks,NA,NA,kek1,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015399,Mid-peaks;NA;NA,Mid-peaks,NA,NA,kek1,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015521,Peak-2;NA;NA,Peak-2,NA,NA,RpS21,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0015577,Peak-2;Peak-1;Peak-1,Peak-2,Peak-1,Peak-1,alpha-Est9,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015589,Peak-1;NA;Peak-1,Peak-1,NA,Peak-1,Apc,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015625,Up-regulated;NA;Up-regulated,Up-regulated,NA,Up-regulated,CycB3,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0015756,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL9,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0015778,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,rin,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0015903,Mid-peaks;Down-regulated;NA,Mid-peaks,Down-regulated,NA,apt,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0015946,Peak-3;NA;NA,Peak-3,NA,NA,grim,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0016041,Down-regulated;Peak-1;NA,Down-regulated,Peak-1,NA,Tom40,early,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0016119,Peak-2;NA;NA,Peak-2,NA,NA,ATPsynCF6,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0016120,Peak-2;NA;Peak-1,Peak-2,NA,Peak-1,ATPsynD,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0016126,Peak-1;NA;NA,Peak-1,NA,NA,CaMKI,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
